state,winstate_inc,winstate_chal,voteshare_inc,voteshare_chal,voteshare_other,margin,state_turnout,actual,REP_votes,REP_won_counties,DEM_votes,DEM_won_counties,OTH_votes,OTH_won_counties,winner,share_REP,share_DEM,share_OTH,error_REP,error_DEM,error_OTH,error_TOT,projected_winner,right_wrong
Wyoming,0.998375,0.001625,65.7776,31.04658,3.175817,34.73101,274642,1,193559,21,73491,2,9715,0,Donald Trump,69.9362274854118,26.553574332014524,3.5101981825736637,4.158627485411799,-4.493005667985475,0.3343811825736638,8.651636153397261,Donald Trump,1
Wisconsin,0.056425,0.943575,45.37802,53.68898,0.9329966,-8.310961,3325739,0,1610184,58,1630866,14,56991,0,Joe Biden,48.822437319608824,49.44953686142774,1.7280258189634392,3.4444173196088244,-4.239443138572263,0.7950292189634393,7.683863858181088,Joe Biden,1
West Virginia,0.992825,0.007175,64.48556,33.77089,1.743553,30.71466,749616,1,545382,55,235984,0,13286,0,Donald Trump,68.63155192461606,29.696521244519612,1.671926830864328,4.145991924616055,-4.074368755480389,-0.07162616913567188,8.363610018367783,Donald Trump,1
Washington,0.00845,0.99155,37.00352,60.76666,2.229822,-23.76315,4429891,0,1584588,26,2369437,13,106269,0,Joe Biden,39.026435031551905,58.356291440964625,2.6172735274834777,2.0229150315519036,-2.4103685590353763,0.3874515274834778,4.433281590587285,Joe Biden,1
Virginia,0.009775,0.990225,43.28946,55.77469,0.9358491,-12.48523,4599938,0,1962430,87,2413568,46,84526,0,Joe Biden,43.99550366728214,54.109517177802424,1.8949791549154316,0.7060436672821382,-1.665172822197576,0.9591300549154316,2.3712173894797077,Joe Biden,1
Vermont,0.004025,0.995975,29.07018,67.17892,3.750889,-38.10874,346095,0,112704,45,242820,201,11904,0,Joe Biden,30.67376465593259,66.08641693066397,3.2398184134034427,1.6035846559325897,-1.0925030693360327,-0.5110705865965572,3.7182398984617366,Joe Biden,1
Utah,0.9544,0.0456,55.45525,41.69538,2.84937,13.75988,1355468,1,865140,26,560282,3,62867,0,Donald Trump,58.129839029919594,37.64604858330606,4.224112386774343,2.674589029919595,-4.0493314166939385,1.3747423867743431,6.723920446613533,Donald Trump,1
Texas,0.617525,0.382475,50.30484,48.78954,0.9056239,1.515306,12147223,1,5890347,232,5259126,22,168438,0,Donald Trump,52.04447181109659,46.467285349743435,1.488242839159983,1.7396318110965936,-2.3222546502565677,0.5826189391599829,4.06188256135317,Donald Trump,1
Tennessee,0.967525,0.032475,57.25942,41.55495,1.185626,15.70446,2851251,1,1852475,92,1143711,3,57665,0,Donald Trump,60.66029416628381,37.4514342710237,1.8882715626924822,3.4008741662838133,-4.103515728976298,0.7026455626924821,7.504393895260109,Donald Trump,1
South Dakota,0.948125,0.051875,57.79984,40.80887,1.391291,16.99097,412006,1,261043,60,150471,6,11095,0,Donald Trump,61.76938967225024,35.60525213613529,2.625358191614471,3.9695496722502384,-5.203617863864707,1.2340671916144708,9.173166536114948,Donald Trump,1
South Carolina,0.899975,0.100025,53.37519,45.88095,0.7438539,7.494247,2403887,1,1385103,33,1091541,13,36685,0,Donald Trump,55.11029395674024,43.430088142061784,1.4596179011979729,1.7351039567402395,-2.4508618579382144,0.7157640011979729,4.185971914678452,Donald Trump,1
Rhode Island,0.00085,0.99915,35.66851,62.93514,1.396348,-27.26663,512193,0,199837,11,306210,28,7580,0,Joe Biden,38.907027862631836,59.6171930213949,1.4757791159732647,3.238517862631838,-3.3179469786051,0.0794311159732648,6.55646684123694,Joe Biden,1
Pennsylvania,0.1569,0.8431,47.32639,51.97831,0.6953009,-4.651922,6840662,0,3378406,54,3460045,13,86001,0,Joe Biden,48.789507097456955,49.968502922686156,1.2419899798568899,1.4631170974569514,-2.0098070773138446,0.5466890798568899,3.4729232747707925,Joe Biden,1
Oregon,0.01845,0.98155,39.26668,58.69598,2.037339,-19.4293,2463087,0,958411,26,1340291,10,72477,0,Joe Biden,40.419175439728505,56.52424384662651,3.0565807136449843,1.1524954397285043,-2.1717361533734874,1.0192417136449845,3.324232593101993,Joe Biden,1
Oklahoma,0.994275,0.005725,62.08282,36.85556,1.061624,25.22726,1598023,1,1020280,77,503890,0,36529,0,Donald Trump,65.37327184806296,32.28617433598664,2.340553815950417,3.2904518480629577,-4.56938566401336,1.278929815950417,7.8598335120763325,Donald Trump,1
Ohio,0.546725,0.453275,49.79167,49.20341,1.004913,0.588254,6175439,1,3154834,81,2679165,7,88203,0,Donald Trump,53.27130010087464,45.239338340705025,1.4893615584203308,3.479630100874637,-3.964071659294973,0.48444855842033085,7.443708760169605,Donald Trump,1
North Dakota,0.975925,0.024075,59.62574,37.92917,2.445087,21.69657,367402,1,235595,51,114902,2,11322,0,Donald Trump,65.11404873707572,31.756762359080092,3.129188903844187,5.4883087370757195,-6.172407640919907,0.6841019038441871,11.660719377995626,Donald Trump,1
North Carolina,0.360675,0.639325,48.76913,50.53209,0.6987836,-1.762964,5687384,1,2758773,75,2684292,25,81736,0,Donald Trump,49.93434152650928,48.586220571564475,1.4794379019262414,1.1652115265092817,-1.9458694284355218,0.7806543019262414,3.111077354944805,Joe Biden,0
New York,0.0001,0.9999,34.95478,64.0599,0.9853184,-29.10512,8451214,0,3244798,41,5230985,21,121702,0,Joe Biden,37.74124642264569,60.84320007537087,1.4155535019834289,2.786466422645688,-3.2166999246291255,0.43023510198342885,6.003167947274805,Joe Biden,1
New Mexico,0.02245,0.97755,42.57364,55.60472,1.821635,-13.03108,978207,0,401894,19,501614,14,20457,0,Joe Biden,43.49666924612946,54.289285849572224,2.2140449042983232,0.9230292461294596,-1.3154341504277767,0.39240990429832334,2.2384683965572423,Joe Biden,1
New Jersey,0.007975,0.992025,39.4347,59.74265,0.8226508,-20.30795,4385652,0,1883140,7,2608271,14,72617,0,Joe Biden,41.260483064521075,57.148444312786864,1.5910726226920606,1.825783064521076,-2.594205687213133,0.7684218226920606,4.419987951734212,Joe Biden,1
New Hampshire,0.10915,0.89085,44.21028,54.83103,0.9586862,-10.62075,842850,0,365654,126,424921,111,13855,0,Joe Biden,45.45504270104298,52.82261974317218,1.7223375557848415,1.2447627010429798,-2.0084102568278155,0.7636513557848414,3.253176757870801,Joe Biden,1
Nevada,0.1219,0.8781,46.2142,52.33038,1.45542,-6.116173,1361268,0,669890,15,703486,2,32000,0,Joe Biden,47.66624732455941,50.056781957284024,2.2769707181565644,1.452047324559409,-2.2735980427159745,0.8215507181565644,3.7256453672753826,Joe Biden,1
Nebraska,0.994375,0.005625,58.17965,40.18031,1.640038,17.99934,935680,1,556846,91,374583,2,20842,0,Donald Trump,58.475581005827124,39.33575631306635,2.1886626811065337,0.2959310058271214,-0.8445536869336507,0.5486246811065336,1.1404866927607764,Donald Trump,1
Montana,0.8197,0.1803,52.21243,45.86065,1.926931,6.351779,661598,1,343602,49,244786,7,17362,0,Donald Trump,56.72340074288073,40.41040033016921,2.866198926950062,4.51097074288073,-5.450249669830789,0.9392679269500619,9.961209412711522,Donald Trump,1
Missouri,0.93635,0.06365,54.06274,44.63382,1.303444,9.428916,3093735,1,1717912,111,1253561,4,58113,0,Donald Trump,56.704513421965906,41.37730369760092,1.9181828804331682,2.641773421965908,-3.2565163023990777,0.6147388804331682,5.898285724364984,Donald Trump,1
Mississippi,0.91515,0.08485,56.7873,42.47904,0.7336658,14.30826,1322020,1,756731,54,539494,28,19015,0,Donald Trump,57.53558285940209,41.01867339801101,1.4457437425869044,0.7482828594020887,-1.4603666019889872,0.7120779425869044,2.208643661391082,Donald Trump,1
Minnesota,0.0419,0.9581,44.63279,53.70286,1.664351,-9.070075,3336925,0,1484065,74,1717077,13,76029,0,Joe Biden,45.28494240916937,52.39509930974001,2.3199582810906114,0.6521524091693678,-1.3077606902599896,0.6556072810906115,1.959912099429347,Joe Biden,1
Michigan,0.053175,0.946825,45.51814,53.50359,0.9782695,-7.985446,5507693,0,2649852,72,2804040,11,85410,0,Joe Biden,47.83729069113762,50.62081829082437,1.5418910180380128,2.319150691137615,-2.8827717091756355,0.5636215180380127,5.201922900313243,Joe Biden,1
Massachusetts,0.000525,0.999475,31.83414,66.6557,1.510161,-34.82156,3658658,0,1167202,53,2382202,298,81998,0,Joe Biden,32.14191103050557,65.6000630059685,2.2580259635259328,0.30777103050556676,-1.0556369940315022,0.7478649635259327,1.3634070245370662,Joe Biden,1
Maryland,0.00045,0.99955,33.63115,64.98491,1.383938,-31.35376,3091488,0,976414,14,1985023,10,55171,0,Joe Biden,32.367944393172735,65.80314711092724,1.8289084959000306,-1.2632056068272632,0.8182371109272424,0.4449704959000307,2.9713817095545574,Joe Biden,1
Maine,0.098825,0.901175,43.36839,55.16259,1.469015,-11.7942,829633,0,360446,344,431277,153,24700,1,Joe Biden,44.149417642570086,52.82518988318555,3.0253924742443563,0.7810276425700877,-2.3374001168144503,1.5563774742443564,3.1184327593845316,Joe Biden,1
Louisiana,0.97115,0.02885,58.77507,40.21692,1.008011,18.55815,2166297,1,1255776,54,856034,10,36252,0,Donald Trump,58.46088241400853,39.85145680152621,1.687660784465253,-0.3141875859914691,-0.3654631984737904,0.6796497844652529,1.3080249564481912,Donald Trump,1
Kentucky,0.9858,0.0142,58.40049,40.39526,1.204258,18.00523,2099896,1,1326646,118,772474,2,37648,0,Donald Trump,62.08657186929044,36.15151481115404,1.7619133195555157,3.6860818692904402,-4.243745188845963,0.5576553195555156,7.929819058136396,Donald Trump,1
Kansas,0.985525,0.014475,55.71799,42.49542,1.786586,13.22257,1318264,1,752903,100,551144,5,29757,0,Donald Trump,56.44779892697878,41.32121361159511,2.2309874614261167,0.7298089269787766,-1.1742063884048903,0.4444014614261167,1.90401931538367,Donald Trump,1
Iowa,0.6013,0.3987,49.96206,48.49138,1.546558,1.470683,1700753,1,897467,93,758881,6,31962,0,Donald Trump,53.157713926944695,44.94915033376572,1.8931357392895853,3.1956539269446935,-3.5422296662342774,0.34657773928958524,6.737885593178972,Donald Trump,1
Indiana,0.96445,0.03555,54.7612,43.98542,1.253378,10.77577,3092778,1,1729852,87,1242495,5,60851,0,Donald Trump,57.03063235568532,40.96320121535093,2.0061664289637537,2.2694323556853178,-3.02221878464907,0.7527884289637536,5.29165314033439,Donald Trump,1
Illinois,0.0007,0.9993,40.38817,58.27946,1.332369,-17.89128,6185579,0,2815843,87,4243013,16,137657,0,Joe Biden,39.12788040541301,58.959290423014586,1.9128291715723988,-1.2602895945869932,0.679830423014586,0.5804601715723989,3.1010393607463853,Joe Biden,1
Idaho,0.994375,0.005625,59.47557,37.50751,3.016928,21.96806,815884,1,554118,41,287021,3,26966,0,Donald Trump,63.83075780003571,33.062935935169136,3.1063062647951574,4.355187800035715,-4.444574064830867,0.08937826479515731,8.799753864866588,Donald Trump,1
Hawaii,0.006275,0.993725,30.90714,67.53033,1.562535,-36.62318,605161,0,196864,0,366130,4,11475,0,Joe Biden,34.26886394217965,63.73363923901899,1.9974968188013629,3.361723942179651,-3.796690760981015,0.43496181880136287,7.1584097031606655,Joe Biden,1
Georgia,0.418475,0.581525,49.15166,50.1039,0.7444401,-0.9522377,4893254,0,2461837,129,2474507,30,62222,0,Joe Biden,49.25086514812448,49.50433784409369,1.2447970077818318,0.09920514812448289,-0.5995621559063125,0.5003569077818317,0.6987672040307975,Joe Biden,1
Florida,0.309,0.691,48.41641,50.88105,0.7025369,-2.464648,11215824,1,5668731,55,5297045,12,101680,0,Donald Trump,51.21981962250403,47.86145072544223,0.9187296520537329,2.8034096225040344,-3.0195992745577698,0.2161927520537329,5.823011997061801,Joe Biden,0
District of Columbia,0.0,1.0,5.411063,91.27472,3.314215,-85.86366,338473,0,18586,0,317323,8,8447,0,Joe Biden,5.397321376714795,92.14969392140692,2.452984701878289,-0.013741623285205229,0.8749739214069194,-0.8612302981217108,0.8887135446921213,Joe Biden,1
Delaware,5e-05,0.99995,36.64574,62.27551,1.078752,-25.62977,499383,0,200603,1,296268,2,7139,0,Joe Biden,39.80139282950736,58.78216702049562,1.4164401499970238,3.1556528295073534,-3.4933429795043764,0.3376881499970239,6.64899380901173,Joe Biden,1
Connecticut,0.0008,0.9992,37.54163,61.57642,0.8819502,-24.03479,1793649,0,715291,54,1080680,115,28348,0,Joe Biden,39.208658134898556,59.23744695966001,1.5538949054414277,1.6670281348985583,-2.3389730403399867,0.6719447054414277,4.006000975238544,Joe Biden,1
Colorado,0.03165,0.96835,42.82203,54.53553,2.64244,-11.71351,3428925,0,1364471,40,1804196,24,87983,0,Joe Biden,41.89799333671104,55.400365406168916,2.7016412571200465,-0.924036663288959,0.8648354061689147,0.059201257120046424,1.9072745836979643,Joe Biden,1
California,0.001425,0.998575,34.11211,64.0617,1.826195,-29.94959,15781379,0,6005961,23,11109764,35,380181,0,Joe Biden,34.32780788831399,63.499220903450215,2.172971208235801,0.21569788831398995,-0.5624790965497866,0.346776208235801,0.7781719848637809,Joe Biden,1
Arkansas,0.9898,0.0102,60.45607,37.77481,1.769124,22.68125,1236661,1,760647,67,423932,8,34490,0,Donald Trump,62.39572985614432,34.77506195301496,2.829208190840715,1.9396598561443241,-2.99974804698504,1.0600841908407153,4.939403903129364,Donald Trump,1
Arizona,0.319775,0.680225,48.08638,50.67472,1.2389,-2.588351,3108663,0,1661686,10,1672143,5,53497,0,Joe Biden,49.05598103046474,49.364690614366616,1.5793283551686494,0.9696010304647444,-1.310029385633385,0.34042835516864955,2.279630416098138,Joe Biden,1
Alaska,0.8505,0.1495,52.94961,44.49561,2.554776,8.454002,346016,1,189892,20,153405,17,48049,3,Donald Trump,48.52279057407001,39.199327449367054,12.27788197656294,-4.426819425929992,-5.296282550632945,9.72310597656294,18.576744828422925,Donald Trump,1
Alabama,0.98355,0.01645,59.61611,39.61551,0.7683759,20.0006,2337021,1,1441170,54,849624,13,32488,0,Donald Trump,62.031643166864804,36.569990212122335,1.3983666210128602,2.4155331668648046,-3.045519787877666,0.6299907210128602,5.4610570547424695,Donald Trump,1
